,Question,Answer
7328,"So, a professor, uh?","Yeah! She is cool, and she's so smart! Her mind is totally acrimonious . That's not how she used it...?"
7329,"Yeah, I know the type.","Hey, if you wanna grab a bite before work we'd better get acrimonious. No? Am I getting close? Opening credits."
7330,,Who says that wine has to cost more than milk!
7331,Who says that wine has to cost more than milk!,Heeey!
7332,Hi!,"Come on in, how are ya?"
7333,I'm good!,Can I offer you a drink?
7334,"Please, I've been crazed all day! I had a meeting with the Dean, and my syllabus for summer school is due and I'm writing the Foreword for a friend's book...","Uh-oh. I hade a pretty hectic day at work too, today I had to open a door and go ohhhh!"
7335,So I am just so excited to be here. And I can't wait to start exploring the city!,"Hey, if you need a tour guide..."
7336,"Oh, you mean it? That would be so fun!","Yeah, definitely, definitely. Ok, what do you wanna see first?"
7337,"Oh, well, we can go see the Chronos Quartet at the Avery Fisher Hall.",Ok!
7338,And there is a collection of Walt Whitman letters on display at the public library.,"I know, yeah!"
7339,"And first, I have to see the MET!","Ok, let me stop you right there. The Mets suck, ok? You wanna see the Yankees."
7340,"No, no, no, not the Mets, the MET, singular!","Which one, they all suck!"
7341,The museum!,I don't think so.
7342,,Ross!
7343,Hi!,I need to talk to you about Charlie.
7344,"Oh, do you, do you really?","Yeah, I'm... I'm kind of having a little problem."
7345,"""Look, if you don't know what the word """"acrimonious"""" means, just don't use it!""","No, look, you know Charlie, right? She's cool, she's funny, her body is soo..."
7346,Get to the problem!,Yes. It's just that she's so much smarter than all the girls I've ever dated! Combined! I don't want her to think I'm stupid!
7347,Are you wearing two belts?,"EH, what do you know!"
7348,You were saying you didn't want to seem stupid.,"Right, right, right, well, she wants to go to all this cultural places and I don't know how to talk about that stuff. You gotta help me out!"
7349,"You know, I really don't want to get involved in you guy's relationship.","Please, c'mon, you're the smartest person I know and I really like this girl, ok, I don't wanna lose her."
7350,Fine.,Thanks.
7351,"Ok. Let's see. Oh, you should take her to the MET!",The Metsss!
7352,"Oh, no! The MET! The Metropolitan Museum of Art.","Oh, that's what she meant! You know, if they're gonna shorten it, they should call it the MUSE! You know, short for museum, and avoid all the confusion!"
7353,"Yeah, most of it it's a place packed with confused angry baseball fans!","Ok, all right, so I'll take her to the MET."
7354,"Yeah, uh, uh, ok, there's this great rare bookstore on Madison Avenue. You know what? She loves architecture, you know what you should do? You should take a walk down fifth to the Saint Patrick's Cathedral and there there's this great little pastry shop that she'd love.","Geez, sounds like you should be going on this date!"
7355,But I'm not! . You know what if you're in the mood for Thai food...,"Whoa, whoa, whoa! Slow down, you go way too fast. Ok? Just go back to the MET, ok?"
7356,Ok.,You got to tell me exactly what to do there.
7357,"Ok, when you walk in the museum, take the right, that's the antiquities wing. Ancient Egypt, Mesopotamia, up to the Byzantine Empire.","Whoa, whoa, whoa, whoa, whoa! So, I walk in the door and make the right."
7358,,Note the painterly lines and subtle impasto on this canvas. Monet painted quickly and usually outdoors as his elusive subject was light itself.
7359,"Now, do you have any idea what you just said?","No, no, my mouth says the words, my brain is thinking monster trucks!"
7360,"Ok now, remember, when you get to the museum, Monet is not spelt M-O-N-A-Y. I just... I wrote that out phonetically for you.",Phonetically?
7361,"Yeah, yeah that means... you know? We just... we don't have time for this.",Ok.
7362,"Ok, but you know what? I gotta say, I'm really impressed that you were able to memorize all this so quickly!","""Ah! I'm an actor! I can memorize anything! Last week on """"Days"""" I had to say """"Frontal temporal zygomatic craniotomy""""."""
7363,Wow. What does that mean?,"""No idea! But the guy I said it to dies in the next scene so I guess it means """"you're gonna get eaten by a bear""""."""
7364,Ok! So let's move on to the Renaissance?,"Ok, Caravaggio uses chiaroscuro here to highlight the anguish of the central figure. Touch it, it's really bumpy! ."
7365,"Nah ah! Nah ah! No no no! No ad-libbing and dude, you can't touch the paintings.",Come on! you...
7366,That was going to be my next argument.,Hey!
7367,Hey!,You're ready?
7368,"Yeah, let's go. Thanks Ross.","Hey Ross! That art stuff worked, you hooked me up."
7369,Glad I could help man.,"Although some of that stuff wasn't where you said it was gonna be, but... I made it work."
7370,"So, I have to go shopping today, which is my least favourite thing, I'm soo bad at picking out clothes!","So you need someone who knows fashion, to tell you what looks good."
7371,"Not me, not me, not me, not me, not me!",Oh hey Rach!
7372,Yeah...,Maybe you could take Charlie shopping.
7373,I'm sure you have better things to do.,"Are you kidding? Rachel loves to shop! And she has great taste! Yeah, she's the one who taught me, you don't wear white after labour day and that you always, always, always have to put on underwear when you're trying on clothes."
7374,"Ok, uh-uh... Let's-Let's shop!!","Ok, you're gonna come back with some very classy clothes... ... and some slutty lingerie, SLUTTY!"
7375,"Ok, great! All right, bye! Pain in the ass!! That's off, right?","What's the matter, Pheebs?"
7376,"Ok, that'll be great!","Oh, ain't that nice? The three of you trying on slutty lingerie together."
7377,That's not what we're gonna do!,"Why would you ruin it, who was that hurtin'?"
7378,"Oh, yeah! Let's do it!","Alright, have a good time."
7379,"Yeah, right! What was last time he met a submission deadline for an abstract Well, why are you laughing?","Just... seeing what it'd be like to be a paleontologist... it's fun, yeah!"
7380,"We'll see you, guys!",Bye.
7381,Ok.,"All right, so. How did it go at the fertility clinic?"
7382,"Well... there's surrogacy, but Monica has dreamt her whole life of carrying a child, she has felt that watching a surrogate would be... too hard for her.",So you're ruling out surrogacy?
7383,Yeah.,"So, I don't have to learn what that means?"
7384,"Aside from adoption the only other choice is insemination, so... we're talking about sperm donors.","Enough said, I'm there for you man. Where is she, upstairs?"
7385,I wish there was an easier way for us to have a child but I don't think there is one.,"Come on Ross, be a good guy. Step up and do it!"
7386,,Hello?
7387,"Joey! Hey, I need to talk to Charlie. Is she there?",No. no... eh... she went shopping with Rachel. Why? What's up?
7388,I'm meeting with professor Sherman about my being the keynote speaker...,Oh! How's it going?
7389,"It could be better! He, uhm... he fell asleep!",What!? But I already bought my ticket to Bermuda!
7390,Barbados.,"Fine, I'll rent a car and drive...! Ross, you have to get that job!"
7391,What am I supposed to do? He's out cold! In fact he was just talking in his sleep before and evidently he wants someone named Fran to spank him harder.,"Well, just wake him up!"
7392,"I can't! If he realizes that I'm the one that put him to sleep, I won't get the job!","Uh! That's a tough one. Oh! Wait a minute, this happened to me before! Yeah, I was auditioning for a play and the producer fell asleep and... no wait a minute... it was me who fell asleep... Yeah I mean hey, Shakespeare, how about a chase scene once in a while!?"
7393,,Wow! You look... ... stop-eating hot! Which is like the highest level of hotness!
7394,Are you sure? Because I'm really dreading going to this party.,Then don't go!
7395,"Mike knows I'm coming, and if I don't show up he'll think it's because of him! And I don't want to lose face! That's a very serious thing in my culture.","Alright, then you go to that party and you pretend to be over Mike. And afterward you come to my place and I'll get you good and drunk!"
7396,,Hey! I'm all packed and ready to go!
7397,"Oh, that's right! Daddy and uncle Joey are going on a trip today. We're going to a conference in Barbados, right?",Mmh-mmh.
7398,Can you say Barbados?,Barbados!
7399,"Ok, we gotta go, yeah? So, we'll see you guys tomorrow.","All right, let's do it! 5 hour flight with Charlie, have a couple of drinks, get under that blanket and do what comes naturally."
7400,Look at all these paleontologists!!,"I know, there are gonna be some pasty folks by the pool tomorrow!"
7401,"Oh my God, I can't believe you're here!","I think I've been recognized, this happens all the time!"
7402,"Doctor Geller, I'm such a huge fan!",That... never happens...
7403,Are you a paleontologist?,"""No, God, no! No! No no, I'm an actor. You'd probably recognize me from a little show called """"The Days of Our Lives""""."""
7404,"""Dude, it's just """"Days of Our Lives""""... there's no the.""","Ok, Ross! It's... It's fun, yeah! No, I-I play Doctor Drake Ramoray."
7405,"I'm sorry, I don't own a TV.",You don't own a TV? What's all your furniture pointed at??
7406,,Yeah! How you doin'? Yeah alright!
7407,Yeah! How you doin'? Yeah alright!,"Hey, hey! You said you're gonna wear a thong, where's the thong?"
7408,I didn't mean a thong... I meant thongs...,You really should have been more clear about that!
7409,Hey!,Hey!
7410,You're never going to guess who I just saw downstairs!,Oh! ah! eh... Britney Spears!?
7411,Yeah... what am I going to say to Kenneth Schwartz?,"""You could say: """"Hey Kenny, how come you're not Britney Spears?"""""""
